,Lalanine,Lvaline,Lleucine,Lisoleucine,Lproline,Lserine,Lthreonine,Lglutamicacid,Lphenylalanine,Lasparagine,Lglutamine,LLysine,Ltyrosine,Ltryptophan,Lglycine,Lmethionine,Betaalanine,Lpipecolicacid,Lhistidine,L4hydroxyproline,taurine,glycylglycine,Larginine,Lhomoserine,Lasparticacid,ethanolamine,Lmethioninesulfoxide,gammaaminobutyricacid,L2aminoadipicacid,Lalphaaminobutyricacid,Ornithine,hydroxyLtryptophan,putrescine,methyldopa,Spermidine,Spermine,pyruvicacid,succinicacid,glycericacidmz292,fumaricacid,malicacid,cysteine,alphaketoglutaricacid,phosphoethanolaminemz188,glycericacid3phosphate,citricacidmz273,glucose,mannitol,myoinositolmz318,glucose6phosphate,adenosine,lacticacid,thymine,cytosine,ribose5phosphate,fructose,guanine,cholesterol
con_0h_1,-3.33388652813475,-2.6077917597923,-0.738376093665746,-0.903018737882102,-0.351564272228537,-0.5342528962473,-0.0113913876123378,-2.13307535993341,-0.967135068340244,-1.10001710441792,-2.49091676101579,-0.930642380989442,0.672323271769474,0.760285993954608,0.507284414396703,3.38025487086489,-3.58437420544919,-5.24801766567536,-1.42505975495474,-3.97351017700564,-0.597453077760997,-1.0987751595746,-3.0437580216046,-1.58725436797986,-0.580433947255747,-1.74397203892495,-4.36264555734524,-1.75964963955913,-0.81283535754292,-1.07124048578321,-3.54494733410463,-3.25196408578767,-0.705359056452611,0.211365366030298,4.06913780537396,2.04410231136626,2.2850692059842,-0.397677789923046,-1.22742262286267,0.369297334743799,-1.21665193516291,1.71529652456279,-0.836708885992928,-0.0300437104117635,-3.08739742071651,-3.67265836654211,3.36501227165794,-3.80731078188393,-0.912045217603639,-1.76221317679231,1.25543971679782,4.98157505784428,-2.60559317075569,0.632497527490968,-0.607600165948307,3.56708995310163,0.984466739841638,3.06205184588612
con_0h_2,-3.56667070934653,-2.58089826372179,-0.721003695818879,-0.87289334828151,-0.470608383090343,-0.589970884773875,-0.0397306908623444,-2.20208898164629,-0.894162375256896,-1.06675204420582,-2.32796173535226,-0.760195732058044,0.751193522950491,0.877186448424696,0.365818642253067,3.41568181030834,-4.21038768880606,-5.5049141153875,-1.34534792826453,-3.83085926940433,-0.866834275593521,-1.07531605356213,-2.90211452877595,-2.14090132575637,-0.691889599049676,-2.08534739037113,-4.75053333270744,-1.98147282388953,-0.740132755941145,-0.96069240747994,-3.77966752037244,-3.6878307619849,-0.906953180959251,-0.164530430977779,3.64907775979496,1.40534697463528,2.34233871885689,-0.425126300682534,-1.42017777063561,-0.428680621684836,-1.38836778381244,1.40165598197995,-0.913786453507931,0.208097391282849,-3.69111757938491,-3.9206869616341,3.37743378818574,-3.72626016051178,-0.834570370698742,-2.16347045047602,0.030986661326064,4.41086997780858,-3.10578347579266,-0.835093313510352,-0.583404324507673,3.18501832416117,0.321347459894247,3.24738186556992
con_0h_3,-3.33456565908712,-2.63903194502206,-0.736576036638455,-0.872392107292068,-0.282026791707283,-0.294968171981065,0.021127601348255,-1.85988740945022,-0.918940516632722,-1.02959479731918,-2.44147177429802,-0.867335516582962,0.716781037105656,0.85529518798811,0.741385528829862,3.31148173006023,-4.00089507106465,-5.56904394252839,-1.20695238960197,-3.7681364515558,-0.255641552313401,-1.0430658347115,-2.98180010031543,-1.70260602725199,-0.412142239183314,-2.03936479779941,-4.67401659301617,-1.0866612454389,-0.395098897432994,-0.944530058071206,-2.52855210252228,-4.30487006614229,-0.431645651459618,0.57935756858186,4.49153662298673,2.19404645505218,2.34608973810585,-0.336930626652181,-1.40728485314065,-0.017601692177051,-0.711003861405264,1.22036898397075,-0.377548204100541,0.599392335577697,-4.14453609775469,-3.46800077306176,3.59667197704299,-3.79080569636985,-0.903021577887638,-1.18426855120751,1.31983294370094,4.32051996342858,-3.59419280235242,-0.486407761042601,-4.0546791812744,3.14948916725619,-1.98256010335977,4.46481486309395
con_2h_1,-3.46554010452094,-2.65396276336271,-0.754079645837546,-0.911032887979259,-0.441307774793658,-0.646434897816734,-0.0739853037588963,-2.0296384623861,-0.981328840944818,-1.10733104656698,-2.47531422357875,-0.865310124764913,0.692162557103371,0.798293327659127,0.386194546101218,3.28446047822161,-3.99653594151878,-5.44804956146349,-1.43799934364383,-3.94785418792989,-0.684206498169053,-1.11196945655791,-2.94428727077276,-1.69154173260831,-0.591571792597092,-2.20205602300651,-4.54575708307365,-1.67585015543197,-0.502414550487859,-1.25509039370849,-3.68026348077291,-4.01769409904485,-0.459360373307927,0.0761512646445573,4.2280617328036,2.22155896108477,2.13076104770941,-0.588148522959197,-1.39961463121069,-0.210593114521435,-1.11689446303897,1.42285560908598,-0.524772084148988,-0.149874685422832,-4.03063860307478,-3.8226445386478,3.2464621847561,-3.84811204057839,-0.899698471461599,-2.3198253575742,0.262509937599252,4.40438339504846,-3.07396221562731,-0.0935146104760548,-0.344116475440946,3.32733976317626,0.208957116993786,3.03140817390511
con_2h_2,-3.46353834455538,-2.41924586831069,-0.552803515842436,-0.700356683266694,-0.377407875114658,-0.510211635194528,0.118116891762304,-2.0100043754073,-0.76169907015939,-0.948058279090057,-2.19706483035854,-0.632433968807358,0.909749195997156,1.02240207189091,0.404049002222655,3.62113923593693,-4.20246257013039,-5.34813966839574,-1.21051738457269,-3.81321491908972,-0.854610760980988,-0.947856076417797,-2.7611063450928,-2.02202763662899,-0.648835215924584,-2.03560023467912,-4.80259756295236,-1.72384995888901,-0.635623738675897,-0.995538044807425,-3.66348776225897,-3.75164092840326,-0.618622267965771,0.122572780741574,4.0470007784138,1.39248758589346,2.39617692818827,-0.20181175190131,-1.37122462995783,-0.268525129613278,-1.11618340999747,1.50450991710662,-0.80762908704593,-0.146734364708616,-3.81520534949628,-4.10166623141676,3.49875870800666,-3.55315832957787,-0.708240895845908,-2.43503887780293,-0.41797481572626,4.43789285011391,-3.902220812935,-1.97913579424994,-1.79733942784957,3.27119738800473,-0.811760683556528,3.00967592993037
con_2h_3,-3.48063326627241,-2.67489509769341,-0.761267186503051,-0.901589995719528,-0.452715776212256,-0.629012924572932,-0.0699723286696588,-2.15428720838997,-0.975185483987298,-1.09897942200809,-2.52485454609897,-0.843138653138961,0.685700040937522,0.749829078585321,0.393796328521661,3.29784026712202,-3.79416125262571,-5.36486461153057,-1.42362383042666,-3.82615498317108,-0.776251117463497,-1.10607700698181,-2.97545393258043,-2.05561737913505,-0.689944998318187,-2.03555912657996,-4.66182410411839,-1.69322851117518,-0.72420260675365,-1.00869978356828,-3.4463835294832,-3.88197304507313,-0.704982334469888,0.0976695730543309,4.35106896970485,1.96104196313456,2.28919505086305,-0.724233450823676,-1.36489088810837,-0.206688098545736,-1.28299236941284,1.45493650774373,-0.604603633572809,-0.465511954315312,-4.11308571095662,-3.89526880046827,3.32774567537067,-3.80147401068213,-0.893796432299324,-1.74279693151973,0.382250290186707,4.48307216759526,-2.78818066583485,-0.253778777164265,-0.312679312812612,3.35684909254769,0.0281648080025913,3.00888076226633
con_6h_1,-3.06501787356623,-2.28855323894253,-0.355096243865216,-0.461841078715774,0.05404306086615,-0.255378157475449,0.339661354100912,-1.64866551368138,-0.570315577412406,-0.711907403154479,-2.05863300448683,-0.499956429924346,1.03851397336214,1.16390038754813,0.821790635099425,3.6786168093085,-3.80565653156272,-5.45559784594943,-1.06518437423802,-3.42138593283146,-0.139456417222309,-0.721581941054855,-2.65937511444637,-1.42004699931818,-0.207276274825805,-1.95708683565672,-4.20191456175684,-1.10578800594134,-0.322146208117787,-0.653462181263783,-3.56826659501774,-4.61827610918017,0.151032964304255,0.665029465716862,4.95553659754327,2.55528931616157,2.64976875199837,-0.0600932617107055,-1.23442475864423,0.267471240947033,-0.7559905514537,1.56566505724505,-0.142107785179109,0.185515480775314,-3.71216397289851,-3.19985162451826,3.54268176374921,-3.23584580559696,-0.54631977783996,-1.9582276426813,0.43983804107509,4.65483723542526,-2.8787697998606,-0.888317640611827,-0.427255390882775,3.5412434141947,0.158082276681349,3.23191856597681
con_6h_2,-3.1549524557289,-2.20507238751497,-0.296521381983474,-0.466900016634594,-0.0601451650582795,-0.168645601299098,0.372895582421505,-1.69272982711832,-0.494897492005526,-0.687729316092437,-1.9331144633739,-0.349662917705013,1.18436227304242,1.24160239964521,0.845076737021303,3.76641101694135,-4.13516080024759,-5.18400830519698,-0.979705059966001,-3.37794724329921,-0.265097867801036,-0.698164017450709,-2.56450454943277,-1.9121418957183,-0.36489045038695,-1.89789478124553,-4.43971010467766,-1.25128472334698,-0.293927745905536,-0.590604126723859,-2.95313304606396,-3.81979127712052,0.0411061422110021,0.353043878618552,4.15413527377984,1.28854210762973,2.68099687346941,0.176650164775262,-1.22648713714664,0.0854359852377716,-0.700243016220065,1.48964499359448,-0.289272551756026,0.39700241066599,-3.42313838991144,-3.79258632229896,3.60389076049656,-3.40892510560717,-0.501702982981755,-1.9575995964741,-0.02586872008859,4.56866382446274,-3.12145152238918,-0.793128632355092,-0.694815904658513,3.35945410508991,-0.313612623529538,3.69586452032957
con_6h_3,-3.05876081058096,-2.19500728697537,-0.318362500244096,-0.473450086915501,0.057108134178961,-0.23967045741737,0.338364790627136,-1.59443116131235,-0.515943790979142,-0.673162342862809,-2.04586558561674,-0.460574779256985,1.08621297104082,1.22794760315523,0.882793392583382,3.79791431799176,-3.75090412750726,-5.04948964096505,-0.974275568744461,-3.33645460821953,-0.172145979447874,-0.672574577400269,-2.57220159196132,-1.49286943182984,-0.184684227291922,-1.76311261434645,-4.02023154576032,-1.01322699442058,-0.212299670401094,-0.565358132644991,-3.36922074036879,-3.8178290063312,0.0174355826900393,0.726564074366599,4.61297516092946,2.36107987726098,2.58966391217482,-0.053501630077141,-1.10837718720934,0.224086603868895,-0.655779388045467,1.58821118343504,-0.0207232758442736,0.0535996125269226,-3.84247838690938,-3.22713075553164,3.67334713085699,-3.37868396340883,-0.48834742172462,-1.08827714025253,0.779146013148818,4.74271404033612,-2.21723712693815,-0.541191081467891,-0.737906394572305,3.66380794035806,-0.075547340985036,3.53229506139861
con_12h_1,-2.42226151454192,-2.01626720447878,-0.159671430156251,-0.387502514057976,0.308685630597628,1.38423823597486,0.629805199578702,-1.63568359489285,-0.287116574971316,-0.56927948884873,-2.21286253553731,-0.29691080581439,1.37315175134846,1.58701644679426,1.79222437894736,3.73356986041081,-4.1796975115809,-5.59505434468877,0.0054275919891763,-3.5577339615162,-0.227175263094158,-0.57485260474223,-2.8260624878701,-1.76215873437394,0.482571958539983,-1.44370816652744,-3.68463015104568,-1.16328616069922,-0.246555440063786,-0.621496001200561,0.553610978960878,-4.57642865042694,-0.311617695770911,0.456942914369881,4.38028378186257,1.95782990211261,2.37246515168277,-0.192560355067001,-1.43877525406513,0.0577247708994879,-0.669387320224512,1.19684887970271,-0.421020848129038,0.0275806329467331,-4.06074302718886,-3.49448284550254,3.38499572624917,-3.63872352914575,-0.752451933424277,-2.15445736080567,0.392021515102879,4.38294394743415,-3.0837283885835,-1.7119592672488,-1.14504472046528,3.37767648325085,-0.132815664431683,2.83247757707975
con_12h_2,-2.79969759290152,-1.72017252137433,0.175272929588973,-0.0043000111776682,0.351499887556317,0.156657991980439,0.835137995296546,-1.42380284619187,-0.0575288532997014,-0.29825751442135,-1.46154651574454,0.104020756667344,1.60459210974944,1.70493993066909,1.08365169103542,4.17415240416336,-4.02145222443768,-4.60606971806134,-0.477175088841539,-3.15431369733097,-0.384532368166357,-0.310270987163951,-2.0342549115969,-1.47564683739179,-0.119507722906538,-1.51368002595803,-3.91908216256985,-1.31384608697383,-0.0640741584727126,-0.189227160006578,-3.20925628814585,-3.56047131280163,-0.377159714964281,0.240944543518666,4.84680308392057,1.68804522611345,3.13797563269998,0.537364826454477,-0.96909828070643,0.343736485427894,-0.574593555095136,1.81942583059715,-1.24673890446137,0.872709117613035,-3.40173774472128,-3.6747011728554,4.07891421481884,-2.88364082253917,-0.0160538982194803,-1.50393282407895,0.0252584576813343,5.37819843413623,-2.74207174202077,-1.0000643292031,-0.809690388687745,4.13985070876829,-0.535253542985985,3.98965129149765
con_12h_3,-2.85272304546553,-2.09355003253256,-0.186511530077926,-0.342909026802589,0.212956713429146,-0.0772327751223402,0.50190417559364,-1.52704992459443,-0.426134812374714,-0.539586352984714,-1.90732423677737,-0.323491098495263,1.2180702162909,1.33058007672514,1.07705729663054,3.84706832628157,-3.63444619311836,-5.02696564367715,-0.884404565501799,-3.21827484920621,0.0806888765820521,-0.546481655582401,-2.47905359319883,-1.33963765769538,-0.0746054612277263,-1.6549578136561,-4.03645887392601,-0.62247589752827,-0.0522948324487495,-0.475875369147556,-3.32262515827255,-3.81598995231531,0.157538605484161,0.957962596195336,5.00977378224794,2.74420048947441,2.78917657799085,0.546394043008896,-0.92862004358296,0.497693042269031,-0.280644313327928,1.66390744364333,0.130851909322791,0.648736768346263,-3.66167604117338,-3.09288311078105,3.79176609141816,-3.28295777909373,-0.39208086633029,-1.1673729035928,1.11211962053335,5.11383141898125,-1.9402394533683,-0.285037403090038,-0.897612971325624,3.91663709116996,0.0926890396060647,3.79541605785693
con_18h_1,-3.19185476530085,-2.44710290178775,-0.521280115271901,-0.658842050640469,-0.122169003194655,-0.39805823426661,0.161543127729001,-1.87411926150035,-0.746477211595662,-0.878484391135159,-2.25753607918648,-0.667469259643704,0.871008866411752,0.997894029452526,0.718809879199232,3.54115344469565,-3.7596172893272,-5.32209790716003,-1.24428586126751,-3.62731585185054,-0.297023396729235,-0.883167003273033,-2.78774688904527,-1.74480828437038,-0.452296935680952,-1.96250255739024,-4.36939595073411,-1.36777513335882,-0.482010062399089,-0.808346988642074,-3.599547574764,-4.22253795016929,-0.320631046698772,0.471641049574801,4.35779691547588,2.25603651399455,2.49949500170937,-0.0475280638251502,-1.44299095097139,0.2292043646442,-0.773652164702263,1.56339072292426,-0.301112130400145,0.0960071334864427,-3.98318443918019,-3.65608788439013,3.44426076151261,-3.61256618912211,-0.737732289009466,-1.98698891721931,0.634001362862773,4.80983951474451,-3.01505698540318,-0.311304573209203,-1.05169054607395,3.60178210691125,0.453216395048347,3.03974675017449
con_18h_2,-3.332006754036,-2.4181615812089,-0.491809229280391,-0.642018657761488,-0.228546454742027,-0.405574102695233,0.191997281642872,-1.77772435640072,-0.722888036870527,-0.859470825355382,-2.08292963221111,-0.556216119937813,0.961937289614712,1.07836181773329,0.708886277525616,3.65625810817494,-4.39510852390749,-5.59378663990151,-1.11925275912777,-3.58529651938797,-0.320667671088011,-0.864818942147308,-2.7597466015781,-2.16991235605649,-0.348791624256018,-2.25297765588154,-4.73695815715633,-1.29962299470501,-0.318747108478984,-0.916817651351691,-3.61623485960112,-4.32686981566164,-0.287405963573584,0.3682487426844,4.33763352843644,1.60685561042641,2.4129009495505,-0.181876766632279,-1.47753138394533,-0.0071005272428031,-0.687030663602713,1.18814663229549,-0.727843957543429,0.688337148842527,-3.70280089491981,-3.54347560143119,3.39764474448616,-3.58337461841464,-0.684292652522685,-1.62573614471341,0.0009030073960566,4.39400771614368,-2.69322168032462,-0.490621806934937,-0.736431060223609,3.25756448568827,-0.622246194545284,3.60912706633282
con_18h_3,-3.26393579597548,-2.71758064512851,-0.767851427587571,-0.933213971853849,-0.357324703994396,-0.508502802635522,0.0029422118536043,-1.75964894771859,-0.952933036237292,-0.957329297161468,-2.46155697512118,-0.940496567562101,0.665222146714175,0.839155010132254,0.689863537863297,3.29067357578124,-3.57311468823826,-5.4263956204222,-1.35922630900698,-3.83263441387912,-0.167708621789257,-0.958149847503535,-2.98645331479866,-1.22279538543823,-0.39413584595863,-1.88880506041416,-4.692350668183,-0.962706166154609,-0.558459882696602,-0.996633709065016,-3.95590457105945,-3.5997372756914,-0.236823521621319,0.77556498564287,4.57663170728727,2.47476767637198,2.2817918123897,-0.013585464686979,-1.17944089445428,0.236259212026845,-0.489442593151841,1.56443787817706,0.0340670490567803,0.410710049547927,-4.07573535481549,-3.30886984033941,3.29296543612563,-3.88539498271911,-0.903433675445881,-1.5243488412813,0.92911372318498,4.42156623785404,-2.45896170040734,0.282204262063347,0.0791266598191424,3.11505434574725,0.284557363426356,3.70014799795232
con_24h_1,-3.27731049872641,-2.59113739152201,-0.646926372415025,-0.829034618460607,-0.242407566971077,-0.536207344202465,0.0380869255585479,-1.86146831385339,-0.884999548644049,-0.977748214767537,-2.39539274470824,-0.862887231509606,0.732124645678949,0.882496638999312,0.612635295866524,3.51703799588756,-3.78846278745938,-5.51466544608167,-1.33208357839716,-3.77702749017441,-0.374895597911635,-0.977471176965919,-3.03788463554635,-1.68046022672597,-0.54893864241262,-2.04726302730616,-4.63231282743811,-1.35861318846163,-0.359186610296216,-0.880362288782218,-3.80945989000171,-4.20779632862627,-0.355308631531786,0.597317382574398,4.40903877142175,2.12091672101367,2.38687983406519,0.088825293088748,-1.39495092468465,0.181482758233364,-0.728494137332929,1.51593291608558,-0.590533382614056,0.0859112104046175,-3.7646203672004,-3.87285103337831,3.28804737975891,-3.82353819671774,-0.880841871081427,-2.3376437282634,0.592246972344421,4.81593846702637,-3.15800444154275,-0.668288896226612,-0.829551986382861,3.26344706065027,0.516905355709144,3.12707026818159
con_24h_2,-3.35419048650978,-2.36914094034511,-0.470819028552229,-0.609456966931408,-0.240823829006501,-0.460790025059541,0.192054513380407,-1.95915857954309,-0.693358441867583,-0.92147128153746,-2.10867903543936,-0.568556674890263,0.973988594859306,1.04125721127363,0.567443501713282,3.78679908327034,-4.25256089686205,-5.18715209534133,-1.15711301502384,-3.67443702684257,-0.686511364893952,-0.935638876051664,-2.77234815495843,-2.07794659877257,-0.573737028197932,-2.10095997560891,-4.43616627169332,-1.55872491856585,-0.585162441884983,-0.927096032078849,-3.70897218881727,-3.90484762624691,-0.663030744915921,0.18289218669941,4.20737345562924,0.939612041680959,2.50723796523112,-0.21416070813317,-1.43743609546376,-0.163519368854557,-0.916104117509042,1.45912819700066,-0.952978412409972,-0.193867405403427,-3.94121959335288,-3.93803047000227,3.49937904982707,-3.516310714427,-0.666129244432964,-2.52708462008395,-0.592303173346682,4.51507733883245,-4.04902740623832,-1.88354099002549,-1.47140807925046,3.3196697616435,-0.864170313925953,2.70156727765251
